time, error1, error2
1.0000,1.0000,1.0000
2.0000,4.0000,8.0000
3.0000,9.0000,27.0000
4.0000,16.0000,64.0000
5.0000,25.0000,125.0000
6.0000,36.0000,216.0000
7.0000,49.0000,343.0000
8.0000,64.0000,512.0000
9.0000,81.0000,729.0000
10.0000,100.0000,1000.0000
11.0000,121.0000,1331.0000
12.0000,144.0000,1728.0000
13.0000,169.0000,2197.0000
14.0000,196.0000,2744.0000
15.0000,225.0000,3375.0000
16.0000,256.0000,4096.0000
17.0000,289.0000,4913.0000
18.0000,324.0000,5832.0000
19.0000,361.0000,6859.0000
20.0000,400.0000,8000.0000
21.0000,441.0000,9261.0000
22.0000,484.0000,10648.0000
23.0000,529.0000,12167.0000
24.0000,576.0000,13824.0000
25.0000,625.0000,15625.0000
26.0000,676.0000,17576.0000
27.0000,729.0000,19683.0000
28.0000,784.0000,21952.0000
29.0000,841.0000,24389.0000
30.0000,900.0000,27000.0000
31.0000,961.0000,29791.0000
32.0000,1024.0000,32768.0000
33.0000,1089.0000,35937.0000
34.0000,1156.0000,39304.0000
35.0000,1225.0000,42875.0000
36.0000,1296.0000,46656.0000
37.0000,1369.0000,50653.0000
38.0000,1444.0000,54872.0000
39.0000,1521.0000,59319.0000
40.0000,1600.0000,64000.0000
41.0000,1681.0000,68921.0000
42.0000,1764.0000,74088.0000
43.0000,1849.0000,79507.0000
44.0000,1936.0000,85184.0000
45.0000,2025.0000,91125.0000
46.0000,2116.0000,97336.0000
47.0000,2209.0000,103823.0000
48.0000,2304.0000,110592.0000
49.0000,2401.0000,117649.0000
50.0000,2500.0000,125000.0000
51.0000,2601.0000,132651.0000
52.0000,2704.0000,140608.0000
53.0000,2809.0000,148877.0000
54.0000,2916.0000,157464.0000
55.0000,3025.0000,166375.0000
56.0000,3136.0000,175616.0000
57.0000,3249.0000,185193.0000
58.0000,3364.0000,195112.0000
59.0000,3481.0000,205379.0000
60.0000,3600.0000,216000.0000
61.0000,3721.0000,226981.0000
62.0000,3844.0000,238328.0000
63.0000,3969.0000,250047.0000
64.0000,4096.0000,262144.0000
65.0000,4225.0000,274625.0000
66.0000,4356.0000,287496.0000
67.0000,4489.0000,300763.0000
68.0000,4624.0000,314432.0000
69.0000,4761.0000,328509.0000
70.0000,4900.0000,343000.0000
