time_arr_ON, dofs_arr_ON, dofs_arr_OFF
0.0000,4096.0000,740.0000
0.0049,323.0000,740.0000
0.0098,384.0000,740.0000
0.0146,427.0000,740.0000
0.0195,453.0000,740.0000
0.0244,480.0000,740.0000
0.0293,501.0000,740.0000
0.0342,511.0000,740.0000
0.0391,517.0000,740.0000
0.0439,526.0000,740.0000
0.0488,534.0000,740.0000
0.0537,542.0000,740.0000
0.0586,547.0000,740.0000
0.0635,539.0000,740.0000
0.0684,563.0000,740.0000
0.0732,570.0000,740.0000
0.0781,577.0000,740.0000
0.0830,585.0000,740.0000
0.0879,591.0000,740.0000
0.0928,597.0000,740.0000
0.0977,603.0000,740.0000
0.1025,609.0000,740.0000
0.1074,614.0000,740.0000
0.1123,619.0000,740.0000
0.1172,626.0000,740.0000
0.1221,633.0000,740.0000
0.1270,636.0000,740.0000
0.1318,641.0000,740.0000
0.1367,648.0000,740.0000
0.1416,653.0000,740.0000
0.1465,658.0000,740.0000
0.1514,665.0000,740.0000
0.1562,666.0000,740.0000
0.1611,675.0000,740.0000
0.1660,679.0000,740.0000
0.1709,683.0000,740.0000
0.1758,690.0000,740.0000
0.1807,694.0000,740.0000
0.1855,697.0000,740.0000
0.1904,702.0000,740.0000
0.1953,707.0000,740.0000
0.2002,711.0000,740.0000
0.2051,718.0000,740.0000
0.2100,723.0000,740.0000
0.2148,726.0000,740.0000
0.2197,732.0000,740.0000
0.2246,734.0000,740.0000
0.2295,740.0000,740.0000
0.2344,744.0000,740.0000
0.2393,749.0000,740.0000
0.2441,755.0000,740.0000
0.2490,756.0000,740.0000
0.2539,761.0000,740.0000
0.2588,767.0000,740.0000
0.2637,769.0000,740.0000
0.2686,775.0000,740.0000
0.2734,780.0000,740.0000
0.2783,781.0000,740.0000
0.2832,784.0000,740.0000
0.2881,792.0000,740.0000
0.2930,794.0000,740.0000
0.2979,796.0000,740.0000
0.3027,804.0000,740.0000
0.3076,807.0000,740.0000
0.3125,810.0000,740.0000
0.3174,764.0000,740.0000
0.3223,804.0000,740.0000
0.3271,830.0000,740.0000
0.3320,836.0000,740.0000
0.3369,840.0000,740.0000
0.3418,842.0000,740.0000
0.3467,847.0000,740.0000
0.3516,849.0000,740.0000
0.3564,853.0000,740.0000
0.3613,856.0000,740.0000
0.3662,859.0000,740.0000
0.3711,862.0000,740.0000
0.3760,865.0000,740.0000
0.3809,873.0000,740.0000
0.3857,874.0000,740.0000
0.3906,878.0000,740.0000
0.3955,883.0000,740.0000
0.4004,887.0000,740.0000
0.4053,893.0000,740.0000
0.4102,894.0000,740.0000
0.4150,900.0000,740.0000
0.4199,903.0000,740.0000
0.4248,908.0000,740.0000
0.4297,853.0000,740.0000
0.4346,888.0000,740.0000
0.4395,916.0000,740.0000
0.4443,923.0000,740.0000
0.4492,927.0000,740.0000
0.4541,931.0000,740.0000
0.4590,936.0000,740.0000
0.4639,936.0000,740.0000
0.4688,942.0000,740.0000
0.4736,948.0000,740.0000
0.4785,953.0000,740.0000
0.4834,961.0000,740.0000
0.4883,969.0000,740.0000
0.4932,974.0000,740.0000
0.4980,979.0000,740.0000
