time_arr_ON_shw_dambreak, dofs_arr_ON_shw_dambreak, dofs_arr_OFF_shw_dambreak, dofs_arr_OFF_shw_dambreak_fine, dofs_arr_OFF_shw_dambreak_coarse
0.0000,16385.0000,1622.0000,16385.0000,1025.0000
0.0982,1098.0000,1622.0000,16385.0000,1025.0000
0.1963,1139.0000,1622.0000,16385.0000,1025.0000
0.2945,1156.0000,1622.0000,16385.0000,1025.0000
0.3927,1174.0000,1622.0000,16385.0000,1025.0000
0.4909,1177.0000,1622.0000,16385.0000,1025.0000
0.5890,1181.0000,1622.0000,16385.0000,1025.0000
0.6872,1203.0000,1622.0000,16385.0000,1025.0000
0.7854,1214.0000,1622.0000,16385.0000,1025.0000
0.8836,1218.0000,1622.0000,16385.0000,1025.0000
0.9817,1215.0000,1622.0000,16385.0000,1025.0000
1.0799,1227.0000,1622.0000,16385.0000,1025.0000
1.1781,1260.0000,1622.0000,16385.0000,1025.0000
1.2763,1261.0000,1622.0000,16385.0000,1025.0000
1.3744,1271.0000,1622.0000,16385.0000,1025.0000
1.4726,1273.0000,1622.0000,16385.0000,1025.0000
1.5708,1288.0000,1622.0000,16385.0000,1025.0000
1.6690,1309.0000,1622.0000,16385.0000,1025.0000
1.7671,1331.0000,1622.0000,16385.0000,1025.0000
1.8653,1349.0000,1622.0000,16385.0000,1025.0000
1.9635,1346.0000,1622.0000,16385.0000,1025.0000
2.0617,1345.0000,1622.0000,16385.0000,1025.0000
2.1598,1355.0000,1622.0000,16385.0000,1025.0000
2.2580,1374.0000,1622.0000,16385.0000,1025.0000
2.3562,1383.0000,1622.0000,16385.0000,1025.0000
2.4544,1405.0000,1622.0000,16385.0000,1025.0000
2.5525,1404.0000,1622.0000,16385.0000,1025.0000
2.6507,1402.0000,1622.0000,16385.0000,1025.0000
2.7489,1408.0000,1622.0000,16385.0000,1025.0000
2.8471,1423.0000,1622.0000,16385.0000,1025.0000
2.9452,1443.0000,1622.0000,16385.0000,1025.0000
3.0434,1464.0000,1622.0000,16385.0000,1025.0000
3.1416,1479.0000,1622.0000,16385.0000,1025.0000
3.2398,1484.0000,1622.0000,16385.0000,1025.0000
3.3379,1485.0000,1622.0000,16385.0000,1025.0000
3.4361,1485.0000,1622.0000,16385.0000,1025.0000
3.5343,1508.0000,1622.0000,16385.0000,1025.0000
3.6325,1525.0000,1622.0000,16385.0000,1025.0000
3.7306,1536.0000,1622.0000,16385.0000,1025.0000
3.8288,1543.0000,1622.0000,16385.0000,1025.0000
3.9270,1540.0000,1622.0000,16385.0000,1025.0000
4.0252,1558.0000,1622.0000,16385.0000,1025.0000
4.1233,1586.0000,1622.0000,16385.0000,1025.0000
4.2215,1596.0000,1622.0000,16385.0000,1025.0000
4.3197,1612.0000,1622.0000,16385.0000,1025.0000
4.4179,1630.0000,1622.0000,16385.0000,1025.0000
4.5160,1633.0000,1622.0000,16385.0000,1025.0000
