time_arr_ON, error_arr_ON, error_arr_OFF
0.0000,0.0128,0.0110
0.0049,0.0336,0.0345
0.0098,0.0342,0.0406
0.0146,0.0354,0.0452
0.0195,0.0365,0.0484
0.0244,0.0375,0.0510
0.0293,0.0383,0.0533
0.0342,0.0391,0.0556
0.0391,0.0399,0.0574
0.0439,0.0405,0.0590
0.0488,0.0412,0.0605
0.0537,0.0418,0.0621
0.0586,0.0424,0.0634
0.0635,0.0429,0.0647
0.0684,0.0435,0.0659
0.0732,0.0440,0.0669
0.0781,0.0445,0.0682
0.0830,0.0450,0.0692
0.0879,0.0454,0.0701
0.0928,0.0459,0.0711
0.0977,0.0463,0.0719
0.1025,0.0467,0.0729
0.1074,0.0471,0.0737
0.1123,0.0475,0.0745
0.1172,0.0479,0.0754
0.1221,0.0482,0.0761
0.1270,0.0486,0.0769
0.1318,0.0490,0.0776
0.1367,0.0493,0.0783
0.1416,0.0496,0.0790
0.1465,0.0500,0.0797
0.1514,0.0503,0.0803
0.1562,0.0506,0.0809
0.1611,0.0509,0.0815
0.1660,0.0512,0.0822
0.1709,0.0515,0.0828
0.1758,0.0518,0.0833
0.1807,0.0521,0.0839
0.1855,0.0524,0.0845
0.1904,0.0527,0.0850
0.1953,0.0530,0.0856
0.2002,0.0532,0.0861
0.2051,0.0535,0.0866
0.2100,0.0538,0.0871
0.2148,0.0540,0.0876
0.2197,0.0543,0.0881
0.2246,0.0545,0.0886
0.2295,0.0548,0.0891
0.2344,0.0550,0.0896
0.2393,0.0553,0.0900
0.2441,0.0555,0.0905
0.2490,0.0557,0.0909
0.2539,0.0560,0.0914
0.2588,0.0562,0.0918
0.2637,0.0564,0.0922
0.2686,0.0566,0.0927
0.2734,0.0569,0.0931
0.2783,0.0571,0.0935
0.2832,0.0573,0.0939
0.2881,0.0575,0.0943
0.2930,0.0577,0.0947
0.2979,0.0579,0.0951
0.3027,0.0581,0.0955
0.3076,0.0583,0.0958
0.3125,0.0585,0.0962
0.3174,0.0587,0.0966
0.3223,0.0589,0.0970
0.3271,0.0591,0.0973
0.3320,0.0593,0.0977
0.3369,0.0595,0.0981
0.3418,0.0597,0.0984
0.3467,0.0599,0.0987
0.3516,0.0601,0.0991
0.3564,0.0603,0.0994
0.3613,0.0604,0.0998
0.3662,0.0606,0.1001
0.3711,0.0608,0.1004
0.3760,0.0610,0.1007
0.3809,0.0611,0.1011
0.3857,0.0613,0.1014
0.3906,0.0615,0.1017
0.3955,0.0617,0.1020
0.4004,0.0618,0.1024
0.4053,0.0620,0.1027
0.4102,0.0622,0.1030
0.4150,0.0623,0.1033
0.4199,0.0625,0.1036
0.4248,0.0627,0.1039
0.4297,0.0628,0.1042
0.4346,0.0630,0.1045
0.4395,0.0631,0.1047
0.4443,0.0633,0.1051
0.4492,0.0635,0.1053
0.4541,0.0636,0.1056
0.4590,0.0638,0.1059
0.4639,0.0639,0.1062
0.4688,0.0641,0.1065
0.4736,0.0642,0.1067
0.4785,0.0644,0.1070
0.4834,0.0645,0.1073
0.4883,0.0647,0.1076
0.4932,0.0648,0.1078
0.4980,0.0650,0.1081
